#      a        b   E   k Ete   Ete (%)    Ite (%)
#-------   ------ --- --- ---   ------- ----------
     0.1      0.1 8106 200 3367     51.7 [50.507, 52.934]
     0.1      1.0 8691 200 3187     49.0 [47.741, 50.170]
     0.1     10.0 9749 200 2925     44.9 [43.723, 46.139]
     0.1    100.0 10192 200 2879    44.2 [43.018, 45.431]
     0.1   1000.0 10439 200 2845    43.7 [42.497, 44.907]
     0.1  10000.0 11640 200 2904    44.6 [43.401, 45.816]
     0.1 100000.0 13931 200 3290    50.5 [49.323, 51.752]
     1.0      0.1 7997 200 3359     51.6 [50.384, 52.812]
     1.0      1.0 7997 200 3359     51.6 [50.384, 52.812]
     1.0     10.0 8584 200 3256     50.0 [48.801, 51.230]
     1.0    100.0 9682 200 2917     44.8 [43.600, 46.016]
     1.0   1000.0 10230 200 2887    44.3 [43.140, 45.554]
     1.0  10000.0 10434 200 2845    43.7 [42.497, 44.907]
     1.0 100000.0 11640 200 2904    44.6 [43.401, 45.816]
    10.0      0.1 7997 200 3359     51.6 [50.384, 52.812]
    10.0      1.0 7997 200 3359     51.6 [50.384, 52.812]
    10.0     10.0 7997 200 3359     51.6 [50.384, 52.812]
    10.0    100.0 8584 200 3256     50.0 [48.801, 51.230]
    10.0   1000.0 9682 200 2917     44.8 [43.600, 46.016]
    10.0  10000.0 10230 200 2887    44.3 [43.140, 45.554]
    10.0 100000.0 10434 200 2845    43.7 [42.497, 44.907]
   100.0      0.1 7997 200 3359     51.6 [50.384, 52.812]
   100.0      1.0 7997 200 3359     51.6 [50.384, 52.812]
   100.0     10.0 7997 200 3359     51.6 [50.384, 52.812]
   100.0    100.0 7997 200 3359     51.6 [50.384, 52.812]
   100.0   1000.0 8584 200 3256     50.0 [48.801, 51.230]
   100.0  10000.0 9682 200 2917     44.8 [43.600, 46.016]
   100.0 100000.0 10230 200 2887    44.3 [43.140, 45.554]
  1000.0      0.1 7997 200 3359     51.6 [50.384, 52.812]
  1000.0      1.0 7997 200 3359     51.6 [50.384, 52.812]
  1000.0     10.0 7997 200 3359     51.6 [50.384, 52.812]
  1000.0    100.0 7997 200 3359     51.6 [50.384, 52.812]
  1000.0   1000.0 7997 200 3359     51.6 [50.384, 52.812]
  1000.0  10000.0 8584 200 3256     50.0 [48.801, 51.230]
  1000.0 100000.0 9682 200 2917     44.8 [43.600, 46.016]
 10000.0      0.1 7997 200 3359     51.6 [50.384, 52.812]
 10000.0      1.0 7997 200 3359     51.6 [50.384, 52.812]
 10000.0     10.0 7997 200 3359     51.6 [50.384, 52.812]
 10000.0    100.0 7997 200 3359     51.6 [50.384, 52.812]
 10000.0   1000.0 7997 200 3359     51.6 [50.384, 52.812]
 10000.0  10000.0 7997 200 3359     51.6 [50.384, 52.812]
 10000.0 100000.0 8584 200 3256     50.0 [48.801, 51.230]
100000.0      0.1 7997 200 3359     51.6 [50.384, 52.812]
100000.0      1.0 7997 200 3359     51.6 [50.384, 52.812]
100000.0     10.0 7997 200 3359     51.6 [50.384, 52.812]
100000.0    100.0 7997 200 3359     51.6 [50.384, 52.812]
100000.0   1000.0 7997 200 3359     51.6 [50.384, 52.812]
100000.0  10000.0 7997 200 3359     51.6 [50.384, 52.812]
100000.0 100000.0 7997 200 3359     51.6 [50.384, 52.812]
